ranks,nodes,mem,time
2,2,512M,0.160
2,2,512M,0.163
2,2,512M,0.170
2,2,512M,0.147
4,2,512M,0.251
4,2,512M,0.247
4,2,512M,0.233
4,2,512M,0.259
8,2,512M,0.262
8,2,512M,0.253
8,2,512M,0.266
16,2,512M,0.271
16,2,512M,0.285
16,2,512M,0.287
16,2,512M,0.288
4,4,512M,1.674
4,4,512M,1.807
4,4,512M,1.802
4,4,512M,2.026
8,4,512M,1.743
8,4,512M,1.900
8,4,512M,1.946
8,4,512M,2.051
16,4,512M,1.656
16,4,512M,1.933
16,4,512M,2.188
16,4,512M,2.220
1,1,1G,0.884
1,1,1G,0.158
1,1,1G,0.166
1,1,1G,0.158
2,1,1G,0.259
2,1,1G,0.238
2,1,1G,0.252
2,1,1G,0.258
4,1,1G,0.251
4,1,1G,0.251
4,1,1G,0.228
8,1,1G,0.296
8,1,1G,0.297
4,1,1G,0.235
8,1,1G,0.284
8,1,1G,0.281

16,1,1G,0.282
16,1,1G,0.290
2,2,1G,0.143
2,2,1G,0.142
16,1,1G,0.294
2,2,1G,0.157
2,2,1G,0.167
4,2,1G,0.260
4,2,1G,0.236
4,2,1G,0.260
4,2,1G,0.940
8,2,1G,2.013
8,2,1G,2.290
8,2,1G,2.317
8,2,1G,1.724
16,2,1G,1.649
16,2,1G,1.679
16,2,1G,2.180
16,2,1G,2.181
4,4,1G,1.733
4,4,1G,1.452
4,4,1G,0.158
4,4,1G,0.170
1,1,512M,1.527
1,1,512M,1.975
1,1,512M,1.201
1,1,512M,1.200
2,1,512M,0.263
2,1,512M,0.254
2,1,512M,0.262
4,1,512M,0.252
4,1,512M,0.252
4,1,512M,0.259
4,1,512M,0.259
8,1,512M,0.298
8,1,512M,0.291
8,1,512M,0.292
8,1,512M,0.291
16,1,512M,0.282
16,1,512M,0.299
2,2,512M,0.137
16,1,512M,0.284
16,1,512M,0.305
2,2,512M,0.164
2,2,512M,0.164
2,2,512M,0.305
4,2,512M,0.236
4,2,512M,0.258
4,2,512M,0.266
4,2,512M,0.246
8,2,512M,0.263
8,2,512M,1.848
8,2,512M,1.857
8,2,512M,1.850
16,2,512M,1.824
16,2,512M,1.908
16,2,512M,2.157
4,4,512M,1.776
16,2,512M,1.907
4,4,512M,1.571
4,4,512M,1.585
8,4,512M,2.109
8,4,512M,0.242
8,4,512M,0.260
16,4,512M,0.257
16,4,512M,0.279
1,1,1G,0.125
16,4,512M,0.260
16,4,512M,0.287
1,1,1G,0.156
1,1,1G,0.148
2,1,1G,0.252
2,1,1G,0.236
2,1,1G,0.235
2,1,1G,0.236
4,1,1G,0.259
4,1,1G,0.249
4,1,1G,0.249
4,1,1G,0.234
8,1,1G,0.262
16,1,1G,0.299
8,1,1G,0.280
8,1,1G,0.291
8,1,1G,0.291
16,1,1G,0.305
16,1,1G,0.322
2,2,1G,1.676
2,2,1G,1.729
16,1,1G,1.999
2,2,1G,1.575
4,2,1G,1.789
4,2,1G,2.019
4,2,1G,1.937
4,2,1G,2.006
8,2,1G,2.030
8,2,1G,2.031
8,2,1G,1.945
8,2,1G,2.038
16,2,1G,2.052
16,2,1G,1.813
16,2,1G,0.301
4,4,1G,0.151
4,4,1G,0.151
16,2,1G,0.288
4,4,1G,0.161
4,4,1G,0.155
8,4,1G,0.260
8,4,1G,0.260
8,4,1G,0.244
16,4,1G,0.266
16,4,1G,0.296
1,1,1500M,0.138
1,1,1500M,0.137
16,4,1G,0.266
1,1,1500M,0.147
1,1,1500M,0.157
2,1,1500M,0.254
2,1,1500M,0.259
2,1,1500M,0.238
4,1,1500M,0.232
4,1,1500M,0.236
4,1,1500M,0.255
4,1,1500M,0.256
8,1,1500M,1.923
8,1,1500M,1.782
8,1,1500M,1.890
8,1,1500M,1.892
16,1,1500M,1.817
16,1,1500M,1.987
16,1,1500M,2.096
16,1,1500M,2.116
2,2,1500M,1.643
2,2,1500M,1.868
2,2,1500M,0.156
4,2,1500M,0.259
4,2,1500M,0.259
8,2,1500M,0.239
4,2,1500M,0.234
8,2,1500M,0.239
8,2,1500M,0.256
8,2,1500M,0.256
16,2,1500M,0.279
16,2,1500M,0.283
4,4,1500M,0.140
16,2,1500M,0.275
16,2,1500M,0.320
4,4,1500M,0.137
4,4,1500M,0.160
8,4,1500M,0.248
8,4,1500M,0.248
8,4,1500M,0.265
8,4,1500M,0.251
16,4,1500M,0.290
16,4,1500M,0.256
16,4,1500M,0.288
16,4,1500M,0.283
1,1,3G,0.149
1,1,3G,0.158
1,1,3G,1.831
1,1,3G,1.704
2,1,3G,1.944
2,1,3G,1.800
2,1,3G,1.509
4,1,3G,1.880
4,1,3G,2.095
4,1,3G,1.548
4,1,3G,1.548
8,1,3G,1.690
8,1,3G,1.600
8,1,3G,0.278
8,1,3G,0.274
2,2,3G,0.162
2,2,3G,0.162
2,2,3G,0.225
2,2,3G,0.157
4,2,3G,0.239
4,2,3G,0.253
4,2,3G,0.236
4,2,3G,0.253
8,2,3G,0.280
8,2,3G,0.245
8,2,3G,0.247
8,2,3G,0.264
16,2,3G,0.283
16,2,3G,0.294
4,4,3G,0.141
16,2,3G,0.273
4,4,3G,0.146
4,4,3G,0.146
4,4,3G,0.165
8,4,3G,1.024
8,4,3G,1.828
8,4,3G,1.698
8,4,3G,2.055
16,4,3G,2.236
16,4,3G,1.892
16,4,3G,1.752
16,4,3G,2.150
